node ID: 172.22.95.36:1669861593.943881, change type:join, log time: 2022-11-30 20:26:33, alive machine: 3 
node ID: 172.22.157.37:1669861599.5993369, change type:join, log time: 2022-11-30 20:26:39, alive machine: 4 
node ID: 172.22.157.37:1669861614.3699224, change type:join, log time: 2022-11-30 20:26:54, alive machine: 4 
node ID: 172.22.157.37:1669861599.5993369, change type:failed, log time: 2022-11-30 20:26:55, alive machine: 4 
node ID: 172.22.157.37:1669861625.3747597, change type:join, log time: 2022-11-30 20:27:05, alive machine: 5 
node ID: 172.22.157.37:1669861625.3747597, change type:failed, log time: 2022-11-30 20:27:07, alive machine: 4 
node ID: 172.22.157.37:1669861614.3699224, change type:failed, log time: 2022-11-30 20:27:10, alive machine: 1 
node ID: 172.22.95.36:1669862088.3734238, change type:join, log time: 2022-11-30 20:34:48, alive machine: 3 
node ID: 172.22.157.37:1669862092.0066686, change type:join, log time: 2022-11-30 20:34:52, alive machine: 4 
node ID: 172.22.159.37:1669862095.7728062, change type:join, log time: 2022-11-30 20:34:55, alive machine: 5 
node ID: 172.22.157.36:1669862081.113365, change type:failed, log time: 2022-11-30 20:37:01, alive machine: 4 
node ID: 172.22.159.37:1669862095.7728062, change type:failed, log time: 2022-11-30 20:37:18, alive machine: 3 
node ID: 172.22.157.37:1669862092.0066686, change type:failed, log time: 2022-11-30 20:37:26, alive machine: 2 
node ID: 172.22.95.36:1669862269.5605898, change type:join, log time: 2022-11-30 20:37:49, alive machine: 3 
node ID: 172.22.157.37:1669862272.2587981, change type:join, log time: 2022-11-30 20:37:52, alive machine: 4 
node ID: 172.22.159.37:1669862275.6274028, change type:join, log time: 2022-11-30 20:37:55, alive machine: 5 
node ID: 172.22.95.36:1669862595.7665162, change type:join, log time: 2022-11-30 20:43:15, alive machine: 3 
node ID: 172.22.157.37:1669862598.8841882, change type:join, log time: 2022-11-30 20:43:18, alive machine: 4 
node ID: 172.22.159.37:1669862602.9997373, change type:join, log time: 2022-11-30 20:43:22, alive machine: 5 
node ID: 172.22.95.36:1670121415.262983, change type:join, log time: 2022-12-03 20:36:55, alive machine: 3 
node ID: 172.22.157.37:1670121427.2479892, change type:join, log time: 2022-12-03 20:37:07, alive machine: 4 
node ID: 172.22.159.37:1670121436.4149382, change type:join, log time: 2022-12-03 20:37:16, alive machine: 5 
node ID: 172.22.159.37:1670121436.4149382, change type:failed, log time: 2022-12-03 20:39:14, alive machine: 4 
node ID: 172.22.157.36:1670121384.6242747, change type:failed, log time: 2022-12-03 20:39:26, alive machine: 3 
node ID: 172.22.95.36:1670121958.6174524, change type:join, log time: 2022-12-03 20:45:58, alive machine: 3 
node ID: 172.22.157.37:1670121963.7987463, change type:join, log time: 2022-12-03 20:46:03, alive machine: 4 
node ID: 172.22.159.37:1670121967.387901, change type:join, log time: 2022-12-03 20:46:07, alive machine: 5 
node ID: 172.22.157.36:1670121951.1883981, change type:failed, log time: 2022-12-03 20:46:32, alive machine: 4 
node ID: 172.22.95.36:1670122033.639728, change type:join, log time: 2022-12-03 20:47:13, alive machine: 3 
node ID: 172.22.157.37:1670122036.6805804, change type:join, log time: 2022-12-03 20:47:16, alive machine: 4 
node ID: 172.22.159.37:1670122040.7279766, change type:join, log time: 2022-12-03 20:47:20, alive machine: 5 
node ID: 172.22.157.36:1670122028.8207006, change type:failed, log time: 2022-12-03 20:49:35, alive machine: 4 
node ID: 172.22.95.36:1670124408.5502598, change type:join, log time: 2022-12-03 21:26:48, alive machine: 3 
node ID: 172.22.157.37:1670124411.4063835, change type:join, log time: 2022-12-03 21:26:51, alive machine: 4 
node ID: 172.22.159.37:1670124414.694376, change type:join, log time: 2022-12-03 21:26:54, alive machine: 5 
node ID: 172.22.157.36:1670124402.9091318, change type:failed, log time: 2022-12-03 21:27:32, alive machine: 4 
node ID: 172.22.159.37:1670124414.694376, change type:failed, log time: 2022-12-03 21:27:42, alive machine: 3 
node ID: 172.22.157.37:1670124411.4063835, change type:failed, log time: 2022-12-03 21:27:45, alive machine: 2 
node ID: 172.22.95.36:1670124408.5502598, change type:failed, log time: 2022-12-03 21:27:45, alive machine: 1 
node ID: 172.22.95.36:1670124481.3926437, change type:join, log time: 2022-12-03 21:28:01, alive machine: 3 
node ID: 172.22.157.37:1670124484.5197878, change type:join, log time: 2022-12-03 21:28:04, alive machine: 4 
node ID: 172.22.159.37:1670124487.457045, change type:join, log time: 2022-12-03 21:28:07, alive machine: 5 
node ID: 172.22.157.36:1670124476.654947, change type:failed, log time: 2022-12-03 21:28:47, alive machine: 4 
node ID: 172.22.95.36:1670124549.7799313, change type:join, log time: 2022-12-03 21:29:09, alive machine: 3 
node ID: 172.22.157.37:1670124553.1735969, change type:join, log time: 2022-12-03 21:29:13, alive machine: 4 
node ID: 172.22.159.37:1670124556.610247, change type:join, log time: 2022-12-03 21:29:16, alive machine: 5 
node ID: 172.22.157.36:1670124543.93218, change type:failed, log time: 2022-12-03 21:32:29, alive machine: 4 
node ID: 172.22.157.36:1670133200.521001, change type:failed, log time: 2022-12-03 23:55:12, alive machine: 1 
node ID: 172.22.95.36:1670133617.5839891, change type:join, log time: 2022-12-04 00:00:17, alive machine: 3 
node ID: 172.22.159.37:1670133632.2515392, change type:join, log time: 2022-12-04 00:00:32, alive machine: 4 
node ID: 172.22.157.37:1670133635.143542, change type:join, log time: 2022-12-04 00:00:35, alive machine: 5 
node ID: 172.22.157.36:1670133599.7040205, change type:failed, log time: 2022-12-04 00:01:28, alive machine: 4 
node ID: 172.22.159.37:1670133807.5328066, change type:join, log time: 2022-12-04 00:03:27, alive machine: 5 
